DataSource,SubType,med_cov,nu_mle,mu_mle,sigma_mle,nu_fit,mu_fit,sigma_fit
Liu2021,MGE-Sst Dock4,26,0.308803920505675,0.152838780394498,0.212584128425993,0.351440511851675,0.171496100215704,0.192671619474202
Liu2021,MGE-Sst Frmd6,50,0.0832207906050452,0.113011024517727,0.321734622352612,0.13498613516317,0.139571324486721,0.299416483384247
Liu2021,MGE-Sst Unc5b,9,0.523971712449715,0.214707836406611,0.0322628968275958,0.514801958479647,0.240627200426313,0.0594954687826277
Liu2021,MSN-D1 Hrh1,96,2.49743951950554e-15,0.108962081457423,0.329718221348,0.0101705774705449,0.12131554046681,0.344170904671295
Liu2021,MSN-D1 Khdrbs3,38,0.164931458937099,0.127275831134132,0.277902240096883,0.23580483904338,0.150655913689025,0.258170825264218
Liu2021,MSN-D2 Col14a1,39,0.121182286608589,0.125747358902052,0.285622744746501,0.22649755251503,0.149461784172471,0.262455442075233
Liu2021,MSN-D2 Slc24a2,142,2.22044604925032e-16,0.119305150620577,0.317847403856448,0.00151909905610557,0.117020449329707,0.332102131057567
Liu2021,ODC odc-large,179,2.22044604925032e-16,0.14556342670582,0.344209951018151,0.000479078913264092,0.11709413358298,0.318347889196165
Liu2021,ODC odc-small,70,0.0966257057124901,0.151384107683801,0.323856191147519,0.0415009773790381,0.129221348174783,0.331984793512767
Liu2021,OLF Trpc4,60,0.17776573999387,0.158355943213346,0.29057107559971,0.0757904137030772,0.133703844767415,0.319741154464719
Liu2021,OLF-Exc Bmpr1b,171,2.22044604925032e-16,0.123399229314926,0.326794890009149,0.000601957525006274,0.116991487112682,0.320986403517853
Liu2021,OLF-Exc Cdh9,54,0.103640671497969,0.129445604744452,0.30219642990166,0.107993247534801,0.136991330987205,0.308787630192995
Liu2021,OLF-Exc Lrrtm3,123,9.04177983125063e-11,0.116041322016686,0.326310936586189,0.00308591855218458,0.117837001280732,0.339211175401216
Liu2021,OLF-Exc Rmst,25,0.376526484391041,0.189348734045466,0.180419707525743,0.360731699892244,0.173969192159467,0.18594912495769
Liu2021,OLF-Exc Sgcd,174,2.22044604925032e-16,0.100061261992179,0.293883329600757,0.000551866847910796,0.117027656839622,0.319966179963352
Liu2021,OLF-Exc Unc13c,69,0.0198635222261952,0.126657404646086,0.329203098073182,0.0440420262071274,0.129630043180108,0.331007142412756
Liu2021,OPC opc-large,52,0.200755083011581,0.18164407935132,0.269263900918131,0.120957611388621,0.138234956844719,0.304330312717942
Liu2021,PAL-Inh Meis2,142,2.22044604925032e-16,0.104045751833346,0.347088255978037,0.00151909905610557,0.117020449329707,0.332102131057567
Liu2021,PAL-Inh Onecut2,14,0.496260811696563,0.204778506956099,0.110201871162973,0.401750945958196,0.213644011675494,0.100519063475004
Liu2021,PC pc-all,14,0.317809680415927,0.263233051868104,0.0548239880623537,0.401750945958196,0.213644011675494,0.100519063475004
Liu2021,PT-L5 Ptprt,25,0.283765515312506,0.15109742674577,0.193513725095756,0.360731699892244,0.173969192159467,0.185949124957695
