median_coverage,nu,mu,sigma
256,0.00014153926578796,0.118726476657141,0.304267294719786
257,0.000139078849424868,0.118747265826953,0.304134523540943
258,0.000136670492702226,0.118768098101088,0.304002732084091
259,0.00013431289921257,0.118788972586527,0.30387190589686
260,0.000132004809644471,0.118809888405431,0.303742030776078
261,0.000129745000584495,0.118830844694847,0.303613092762671
262,0.000127532283362241,0.118851840606417,0.303485078136686
263,0.000125365502936722,0.118872875306097,0.303357973412431
264,0.000123243536822492,0.118893947973881,0.30323176533373
265,0.000121165294053927,0.118915057803533,0.303106440869299
266,0.000119129714186196,0.118936204002324,0.302981987208218
267,0.000117135766331469,0.118957385790772,0.302858391755524
268,0.000115182448229008,0.118978602402392,0.302735642127897
269,0.00011326878534782,0.118999853083449,0.302613726149451
270,0.000111393830020627,0.119021137092718,0.302492631847624
271,0.000109556660607942,0.119042453701248,0.302372347449165
272,0.000107756380691097,0.119063802192132,0.302252861376205
273,0.000105992118293134,0.119085181860281,0.302134162242434
274,0.000104263025126479,0.119106592012204,0.302016238849351
275,0.000102568275866399,0.119128031965792,0.301899080182607
276,0.00010090706744927,0.119149501050108,0.301782675408435
277,9.92786183947135e-05,0.119170998605179,0.301667013870151
278,9.76821681507161e-05,0.119192523981794,0.301552085084743
279,9.61169764608713e-05,0.11921407654131,0.301437878739535
280,9.4582322752922e-05,0.119235655655451,0.301324384688926
281,9.30775055478102e-05,0.119257260706126,0.301211592951198
282,9.16018418884825e-05,0.11927889108524,0.301099493705401
283,9.01546667877208e-05,0.119300546194513,0.300988077288307
284,8.87353326942986e-05,0.119322225445301,0.300877334191427
285,8.73432089767996e-05,0.119343928258426,0.300767255058097
286,8.59776814244487e-05,0.119365654064,0.300657830680632
287,8.46381517643392e-05,0.119387402301264,0.300549051997531
288,8.33240371944693e-05,0.119409172418421,0.300440910090761
289,8.20347699320082e-05,0.119430963872476,0.300333396183079
290,8.07697967762511e-05,0.119452776129082,0.300226501635434
291,7.95285786857372e-05,0.119474608662383,0.300120217944404
292,7.83105903690228e-05,0.119496460954869,0.30001453673971
293,7.71153198886236e-05,0.119518332497222,0.299909449781761
294,7.59422682776642e-05,0.119540222788176,0.299804948959274
295,7.47909491687774e-05,0.119562131334377,0.299701026286927
296,7.36608884348338e-05,0.119584057650241,0.299597673903069
297,7.25516238410736e-05,0.119606001257819,0.299494884067483
298,7.1462704708253e-05,0.119627961686668,0.29939264915919
299,7.03936915864135e-05,0.119649938473714,0.299290961674299
300,6.93441559389101e-05,0.119671931163133,0.29918981422391
301,6.83136798363392e-05,0.119693939306215,0.299089199532049
302,6.73018556600282e-05,0.119715962461254,0.298989110433657
303,6.63082858147567e-05,0.119738000193417,0.298889539872617
304,6.53325824503887e-05,0.119760052074633,0.298790480899819
305,6.43743671921192e-05,0.119782117683473,0.29869192667127
306,6.34332708790345e-05,0.119804196605041,0.298593870446238
307,6.25089333107067e-05,0.119826288430859,0.29849630558544
308,6.1601003001553e-05,0.119848392758763,0.298399225549261
309,6.07091369426916e-05,0.119870509192791,0.298302623896015
310,5.98330003710495e-05,0.119892637343082,0.298206494280236
311,5.89722665454722e-05,0.119914776825773,0.298110830451009
312,5.8126616529606e-05,0.119936927262895,0.298015626250331
313,5.72957389813265e-05,0.11995908828228,0.297920875611506
314,5.64793299484927e-05,0.119981259517461,0.297826572557574
315,5.5677092670823e-05,0.120003440607575,0.297732711199769
316,5.48887373876845e-05,0.120025631197275,0.29763928573601
317,5.41139811478739e-05,0.120047830864888,0.297546290733394
318,5.33525476185954e-05,0.120070038920908,0.297453721922921
319,5.26041669216621e-05,0.120092254621722,0.297361575350058
320,5.18685754665692e-05,0.120114477236226,0.297269847109173
321,5.11455157850046e-05,0.12013670604561,0.297178533342788
322,5.04347363702111e-05,0.120158940343142,0.297087630240838
323,4.97359915210444e-05,0.120181179433963,0.296997134039952
324,4.90490411905751e-05,0.120203422634878,0.296907041022738
325,4.83736508390896e-05,0.120225669274157,0.296817347517089
326,4.77095912913503e-05,0.120247918691339,0.296728049895499
327,4.70566385979741e-05,0.120270170237038,0.296639144574385
328,4.64145739008046e-05,0.120292423272755,0.296550628013434
329,4.57831833021483e-05,0.120314677170689,0.29646249671495
330,4.51622577377506e-05,0.120336931313559,0.29637474722322
331,4.45515928533985e-05,0.120359185094422,0.296287376123885
332,4.39509888850315e-05,0.120381437916501,0.296200380043331
333,4.33602505422531e-05,0.120403689193008,0.29611375564808
334,4.27791868951363e-05,0.120425938346983,0.296027499644202
335,4.22076112642206e-05,0.120448184811119,0.295941608776731
336,4.16453411135992e-05,0.120470428027609,0.295856079829091
337,4.10921979470056e-05,0.120492667447981,0.295770909622538
338,4.05480072068012e-05,0.120514902532943,0.295686095015606
339,4.00125981757785e-05,0.120537132752232,0.295601632903564
340,3.94858038816919e-05,0.120559357584457,0.295517520217883
341,3.8967461004434e-05,0.120581576516962,0.295433753925714
342,3.84574097857731e-05,0.120603789045669,0.295350331029371
343,3.79554939415796e-05,0.120625994674946,0.295267248565828
344,3.74615605764602e-05,0.120648192917462,0.295184503606218
345,3.69754601007306e-05,0.120670383294049,0.295102093255349
346,3.64970461496549e-05,0.120692565333572,0.295020014651217
347,3.60261755048831e-05,0.120714738572795,0.294938264964544
348,3.5562708018022e-05,0.120736902556249,0.294856841398303
349,3.51065065362743e-05,0.120759056836109,0.294775741187269
