distance_bp,phat_00,phat_01,phat_10,phat_11
54,0.949104452599693,0.0364149385353587,0.0508955474003072,0.963585061464641
55,0.948432096409078,0.0366968623343918,0.0515679035909223,0.963303137665608
56,0.947749205220416,0.0369777218441907,0.0522507947795845,0.963022278155809
57,0.947039456808028,0.0372563240925943,0.0529605431919719,0.962743675907405
58,0.94628824849217,0.037531600623859,0.0537117515078299,0.962468399376141
59,0.945482525596126,0.0378025951506543,0.0545174744038738,0.962197404849345
60,0.944610628405069,0.0380684525324794,0.0553893715949313,0.96193154746752
61,0.943662155424969,0.0383284089231209,0.0563378445750315,0.961671591076879
62,0.942673547566041,0.0385888661176366,0.0573264524339586,0.961411133882363
63,0.941685355919993,0.0388555453960557,0.0583146440800073,0.961144454603944
64,0.940694449872726,0.0391268361098798,0.0593055501272741,0.96087316389012
65,0.939697991622911,0.0394012651778779,0.0603020083770893,0.960598734822122
66,0.938693410065773,0.0396774852614306,0.0613065899342272,0.960322514738569
67,0.937678377200825,0.0399542640589719,0.0623216227991748,0.960045735941028
68,0.936650786793967,0.0402304746016386,0.0633492132060331,0.959769525398361
69,0.935608735056151,0.0405050864459941,0.0643912649438486,0.959494913554006
70,0.934550503128487,0.0407771576716881,0.0654494968715134,0.959222842328312
71,0.933474541187772,0.0410458276023859,0.0665254588122279,0.958954172397614
72,0.932379454007575,0.0413103101774727,0.0676205459924251,0.958689689822527
73,0.931263987828429,0.0415698879100714,0.0687360121715711,0.958430112089929
74,0.930127018406947,0.0418239063739739,0.0698729815930531,0.958176093626026
75,0.928967540127887,0.042071769168296,0.071032459872113,0.957928230831704
76,0.927784656075747,0.0423129333141361,0.0722153439242527,0.957687066685864
77,0.926577568973526,0.0425469050423525,0.0734224310264741,0.957453094957648
78,0.925345572906038,0.0427732359358403,0.0746544270939625,0.95722676406416
79,0.924088045753821,0.0429915193934749,0.0759119542461794,0.957008480606525
80,0.92280444227131,0.0432013873862367,0.0771955577286902,0.956798612613763
81,0.921507247163503,0.0434092001776153,0.0784927528364971,0.956590799822385
82,0.920207660715804,0.0436201044435822,0.0797923392841957,0.956379895556418
83,0.918903398490748,0.0438320524515047,0.081096601509252,0.956167947548496
84,0.917592344232679,0.0440431395564142,0.0824076557673214,0.955956860443586
85,0.916272538157527,0.0442515944464579,0.0837274618424737,0.955748405553542
86,0.914942166126405,0.0444557701157691,0.0850578338735957,0.955544229884231
87,0.913599549629157,0.0446541355044376,0.0864004503708438,0.955345864495563
88,0.912243136510814,0.0448452677508097,0.0877568634891864,0.955154732249191
89,0.910871492380059,0.0450278450063292,0.0891285076199421,0.954972154993671
90,0.909483292644302,0.0452006397676166,0.0905167073556985,0.954799360232384
91,0.908079225167427,0.0453650031139119,0.0919207748325738,0.954634996886088
92,0.906662164315568,0.0455235266508324,0.093337835684432,0.954476473349168
93,0.905234054772442,0.0456768804496219,0.0947659452275585,0.954323119550378
94,0.903796729043348,0.0458256962164805,0.0962032709566529,0.95417430378352
95,0.902351914076894,0.0459705695600158,0.0976480859231067,0.954029430439985
96,0.900901237452597,0.0461120621097121,0.0990987625474035,0.953887937890289
97,0.899446233166241,0.0462507034963855,0.100553766833759,0.953749296503615
98,0.897988347042276,0.0463869932046893,0.102011652957725,0.953613006795312
99,0.896528941800152,0.0465214023069197,0.103471058199849,0.953478597693081
100,0.895069301799344,0.0466543750866253,0.104930698200656,0.953345624913376
101,0.893606065364203,0.0467842630257706,0.106393934635797,0.95321573697423
102,0.892135667326424,0.0469094227296014,0.107864332673576,0.9530905772704
103,0.890658995278897,0.0470302704835505,0.109341004721103,0.95296972951645
104,0.889176891552894,0.0471472014948781,0.110823108447106,0.952852798505123
105,0.88769015560641,0.0472605910097082,0.11230984439359,0.952739408990293
106,0.886199546271814,0.0473707953639322,0.113800453728186,0.952629204636069
107,0.884705783872117,0.0474781529723768,0.115294216127883,0.952521847027624
108,0.883209552214479,0.0475829852603091,0.116790447785521,0.952417014739691
