sample,specie,Laminar_layer,mCG/CG,mCH/CH,Coverage(%),BroadClass,Subtype
Pool_206_AD006,Mus_musculus,Superficial,0.72929,0.02302,1.27,Excitatory,mL2/3
Pool_208_AD006,Mus_musculus,Superficial,0.72922,0.02149,1.76,Excitatory,mL2/3
Pool_209_AD002,Mus_musculus,Superficial,0.7237,0.0198,4.52,Excitatory,mL2/3
Pool_20_AD006,Mus_musculus,Superficial,0.75356,0.02026,3,Excitatory,mL2/3
Pool_210_AD002,Mus_musculus,Superficial,0.76582,0.0275,5.05,Inhibitory,mPv
Pool_210_AD006,Mus_musculus,Superficial,0.72724,0.02354,4.5,Excitatory,mL2/3
Pool_212_AD002,Mus_musculus,Superficial,0.70531,0.02339,1.87,Excitatory,mL2/3
Pool_212_AD006,Mus_musculus,Superficial,0.71759,0.02207,7.18,Excitatory,mL4
Pool_214_AD002,Mus_musculus,Superficial,0.7294,0.02226,3.12,Excitatory,mL2/3
Pool_214_AD006,Mus_musculus,Superficial,0.71622,0.02397,7.13,Excitatory,mL2/3
Pool_216_AD002,Mus_musculus,Superficial,0.71218,0.02176,2.36,Excitatory,mL2/3
Pool_216_AD006,Mus_musculus,Superficial,0.71704,0.0212,6.71,Excitatory,mL2/3
Pool_218_AD002,Mus_musculus,Superficial,0.70165,0.021,1.7,Excitatory,mL2/3
Pool_218_AD006,Mus_musculus,Superficial,0.73325,0.02595,5.73,Excitatory,mL2/3
Pool_219_AD002,Mus_musculus,Superficial,0.70371,0.02372,2.64,Excitatory,mL2/3
Pool_219_AD006,Mus_musculus,Superficial,0.73206,0.02688,6.14,Excitatory,mL2/3
Pool_21_AD002,Mus_musculus,Superficial,0.70188,0.02263,3.8,Excitatory,mL2/3
Pool_21_AD006,Mus_musculus,Superficial,0.72288,0.02517,6.08,Excitatory,mL2/3
Pool_220_AD006,Mus_musculus,Superficial,0.75758,0.02208,3.55,Excitatory,mL2/3
Pool_221_AD006,Mus_musculus,Superficial,0.73561,0.02231,5.38,Excitatory,mL2/3
Pool_222_AD002,Mus_musculus,Superficial,0.7029,0.023,1.46,Excitatory,mL2/3
Pool_222_AD006,Mus_musculus,Superficial,0.76398,0.02946,4.89,Inhibitory,mNdnf-1
Pool_223_AD006,Mus_musculus,Superficial,0.73641,0.02093,5.92,Excitatory,mL2/3
Pool_224_AD002,Mus_musculus,Superficial,0.72798,0.02385,2.58,Excitatory,mL5-1
Pool_224_AD006,Mus_musculus,Superficial,0.73175,0.02258,4.73,Excitatory,mL2/3
Pool_225_AD002,Mus_musculus,Superficial,0.70452,0.02123,5.42,Excitatory,mL2/3
Pool_225_AD006,Mus_musculus,Superficial,0.75696,0.02944,7.6,Excitatory,mL5-1
Pool_226_AD006,Mus_musculus,Superficial,0.72227,0.02593,7,Excitatory,mL2/3
Pool_227_AD006,Mus_musculus,Superficial,0.73915,0.01973,2.37,Excitatory,mL2/3
Pool_229_AD006,Mus_musculus,Superficial,0.73827,0.01965,6.92,Excitatory,mL2/3
Pool_22_AD002,Mus_musculus,Superficial,0.77042,0.02377,4.01,Inhibitory,mVip
Pool_230_AD006,Mus_musculus,Superficial,0.73277,0.02074,6.32,Excitatory,mL4
Pool_231_AD002,Mus_musculus,Superficial,0.71277,0.02389,4.6,Excitatory,mL2/3
Pool_232_AD006,Mus_musculus,Superficial,0.70152,0.02309,2.81,Excitatory,mL2/3
Pool_233_AD002,Mus_musculus,Superficial,0.70899,0.02466,3.06,Excitatory,mL2/3
Pool_233_AD006,Mus_musculus,Superficial,0.71837,0.02072,1.83,Excitatory,mL2/3
Pool_234_AD006,Mus_musculus,Superficial,0.74179,0.02247,3.45,Excitatory,mL2/3
Pool_235_AD006,Mus_musculus,Superficial,0.7654,0.02675,4.18,Inhibitory,mPv
Pool_238_AD006,Mus_musculus,Superficial,0.74008,0.02081,6.59,Excitatory,mL4
Pool_239_AD002,Mus_musculus,Superficial,0.69682,0.02565,3.06,Excitatory,mL2/3
Pool_239_AD006,Mus_musculus,Superficial,0.70542,0.02238,1.62,Excitatory,mL2/3
Pool_23_AD002,Mus_musculus,Superficial,0.73906,0.02807,3.76,Excitatory,mL5-1
Pool_23_AD006,Mus_musculus,Superficial,0.74439,0.02187,5.11,Excitatory,mL2/3
Pool_240_AD002,Mus_musculus,Superficial,0.74034,0.02132,2.44,Excitatory,mL4
Pool_240_AD006,Mus_musculus,Superficial,0.72408,0.01732,6.52,Excitatory,mL4
Pool_241_AD002,Mus_musculus,Superficial,0.70612,0.02535,5.13,Excitatory,mL2/3
Pool_241_AD006,Mus_musculus,Superficial,0.72957,0.02068,7.28,Excitatory,mL2/3
Pool_242_AD006,Mus_musculus,Superficial,0.72331,0.0222,5.06,Excitatory,mL2/3
Pool_243_AD006,Mus_musculus,Superficial,0.7361,0.02035,5.5,Excitatory,mL4
Pool_244_AD006,Mus_musculus,Superficial,0.72164,0.01779,5.74,Excitatory,mL4
Pool_245_AD006,Mus_musculus,Superficial,0.73571,0.02076,7.11,Excitatory,mL2/3
Pool_246_AD002,Mus_musculus,Superficial,0.70679,0.02064,3.91,Excitatory,mL4
Pool_246_AD006,Mus_musculus,Superficial,0.74997,0.02637,7.95,Excitatory,mL2/3
Pool_247_AD006,Mus_musculus,Superficial,0.74256,0.02111,2.17,Inhibitory,mVip
Pool_248_AD006,Mus_musculus,Superficial,0.73354,0.02165,6.96,Excitatory,mL4
Pool_249_AD006,Mus_musculus,Superficial,0.7187,0.02244,5.9,Excitatory,mL2/3
Pool_24_AD002,Mus_musculus,Superficial,0.72349,0.02098,3.98,Excitatory,mL2/3
Pool_24_AD006,Mus_musculus,Superficial,0.72676,0.02016,5.05,Excitatory,mL2/3
Pool_250_AD006,Mus_musculus,Superficial,0.73283,0.02318,5.51,Excitatory,mL2/3
Pool_251_AD006,Mus_musculus,Superficial,0.75851,0.01946,6.87,Excitatory,mL2/3
Pool_252_AD006,Mus_musculus,Superficial,0.73776,0.02671,6.25,Excitatory,mL4
Pool_253_AD006,Mus_musculus,Superficial,0.74712,0.02156,5.66,Inhibitory,mNdnf-2
Pool_254_AD002,Mus_musculus,Superficial,0.70404,0.02183,1.33,Excitatory,mL2/3
Pool_254_AD006,Mus_musculus,Superficial,0.73377,0.02032,4.54,Excitatory,mL4
Pool_255_AD006,Mus_musculus,Superficial,0.72089,0.02486,7.54,Excitatory,mL2/3
Pool_256_AD006,Mus_musculus,Superficial,0.71764,0.02293,5,Excitatory,mL2/3
Pool_257_AD006,Mus_musculus,Superficial,0.74458,0.02157,5.92,Excitatory,mL2/3
Pool_258_AD006,Mus_musculus,Superficial,0.72137,0.02358,5.11,Excitatory,mL2/3
Pool_259_AD006,Mus_musculus,Superficial,0.74572,0.01909,5.63,Excitatory,mL2/3
Pool_25_AD006,Mus_musculus,Superficial,0.73789,0.01898,3.77,Excitatory,mL4
Pool_260_AD006,Mus_musculus,Superficial,0.794,0.03316,5.03,Inhibitory,mSst-1
Pool_261_AD006,Mus_musculus,Superficial,0.71831,0.02499,5.01,Excitatory,mL2/3
Pool_262_AD006,Mus_musculus,Superficial,0.7212,0.01934,5.24,Inhibitory,mNdnf-2
Pool_263_AD006,Mus_musculus,Superficial,0.73585,0.02283,5.51,Excitatory,mL2/3
Pool_264_AD006,Mus_musculus,Superficial,0.7134,0.01697,5.4,Inhibitory,mNdnf-2
Pool_266_AD006,Mus_musculus,Superficial,0.71745,0.02398,5.27,Excitatory,mL2/3
Pool_267_AD006,Mus_musculus,Superficial,0.73445,0.02628,5.74,Excitatory,mL2/3
Pool_268_AD006,Mus_musculus,Superficial,0.74339,0.02583,6.81,Excitatory,mDL-2
Pool_269_AD006,Mus_musculus,Superficial,0.72057,0.0205,5.01,Excitatory,mL2/3
Pool_26_AD002,Mus_musculus,Superficial,0.75747,0.01943,3.84,Excitatory,mL4
Pool_26_AD006,Mus_musculus,Superficial,0.74955,0.02172,4.03,Excitatory,mL4
Pool_270_AD006,Mus_musculus,Superficial,0.72529,0.02229,4.05,Excitatory,mL4
Pool_271_AD006,Mus_musculus,Superficial,0.74402,0.02133,4.05,Excitatory,mL2/3
Pool_272_AD006,Mus_musculus,Superficial,0.71631,0.02265,5.87,Excitatory,mL2/3
Pool_273_AD002,Mus_musculus,Superficial,0.71117,0.02215,4.01,Excitatory,mL2/3
Pool_273_AD006,Mus_musculus,Superficial,0.72625,0.01764,12.47,Excitatory,mL2/3
Pool_274_AD002,Mus_musculus,Superficial,0.76913,0.02749,2.32,Excitatory,mL6-1
Pool_275_AD006,Mus_musculus,Superficial,0.75124,0.02175,6.84,Inhibitory,mNdnf-2
Pool_276_AD006,Mus_musculus,Superficial,0.73408,0.02237,5.89,Excitatory,mL2/3
Pool_277_AD006,Mus_musculus,Superficial,0.71568,0.023,1.83,Excitatory,mL2/3
Pool_278_AD006,Mus_musculus,Superficial,0.75382,0.02847,6.65,Excitatory,mL5-1
Pool_279_AD006,Mus_musculus,Superficial,0.72011,0.01787,4.66,Excitatory,mL4
Pool_27_AD002,Mus_musculus,Superficial,0.73418,0.02417,1.77,Excitatory,mL2/3
Pool_27_AD006,Mus_musculus,Superficial,0.74087,0.01732,2.89,Excitatory,mL4
Pool_280_AD006,Mus_musculus,Superficial,0.74319,0.02118,5.28,Excitatory,mL4
Pool_281_AD002,Mus_musculus,Superficial,0.74664,0.02402,3.45,Inhibitory,mPv
Pool_281_AD006,Mus_musculus,Superficial,0.75668,0.02726,6.63,Inhibitory,mVip
Pool_282_AD002,Mus_musculus,Superficial,0.70075,0.01594,5.04,Inhibitory,mNdnf-2
Pool_282_AD006,Mus_musculus,Superficial,0.75854,0.02858,4.58,Inhibitory,mVip
Pool_283_AD002,Mus_musculus,Superficial,0.68648,0.02173,2.03,Excitatory,mL2/3
Pool_283_AD006,Mus_musculus,Superficial,0.73479,0.02476,5.38,Excitatory,mL2/3
Pool_284_AD006,Mus_musculus,Superficial,0.7364,0.02733,5.8,Excitatory,mL2/3
Pool_285_AD006,Mus_musculus,Superficial,0.71916,0.02118,7.63,Excitatory,mL2/3
Pool_286_AD006,Mus_musculus,Superficial,0.72229,0.02315,6.34,Excitatory,mL2/3
Pool_287_AD006,Mus_musculus,Superficial,0.71364,0.01914,7.12,Excitatory,mL4
Pool_288_AD002,Mus_musculus,Superficial,0.71177,0.01989,4.68,Excitatory,mL2/3
Pool_288_AD006,Mus_musculus,Superficial,0.74223,0.02098,5.24,Excitatory,mL2/3
Pool_289_AD010,Mus_musculus,Superficial,0.70448,0.02275,5.44,Excitatory,mL2/3
Pool_28_AD002,Mus_musculus,Superficial,0.71477,0.02565,3.67,Excitatory,mL2/3
Pool_28_AD006,Mus_musculus,Superficial,0.73922,0.01988,3.22,Excitatory,mL2/3
Pool_290_AD010,Mus_musculus,Superficial,0.7387,0.03028,4.93,Excitatory,mL5-2
Pool_291_AD010,Mus_musculus,Superficial,0.72313,0.01984,4.77,Excitatory,mL2/3
Pool_293_AD010,Mus_musculus,Superficial,0.7669,0.03784,5.76,Inhibitory,mPv
Pool_294_AD010,Mus_musculus,Superficial,0.70278,0.02162,4.82,Excitatory,mL4
Pool_295_AD010,Mus_musculus,Superficial,0.71177,0.02262,3.72,Excitatory,mL2/3
Pool_296_AD008,Mus_musculus,Superficial,0.71515,0.01695,6,Excitatory,mL2/3
Pool_296_AD010,Mus_musculus,Superficial,0.75037,0.0295,4.55,Excitatory,mL5-2
Pool_297_AD010,Mus_musculus,Superficial,0.73742,0.0222,6.28,Inhibitory,mNdnf-2
Pool_299_AD008,Mus_musculus,Superficial,0.70812,0.02418,4.4,Excitatory,mL2/3
Pool_299_AD010,Mus_musculus,Superficial,0.71686,0.02102,3.71,Excitatory,mL2/3
Pool_29_AD002,Mus_musculus,Superficial,0.77187,0.02376,4.2,Inhibitory,mPv
Pool_29_AD006,Mus_musculus,Superficial,0.73419,0.02545,4.52,Excitatory,mL2/3
Pool_2_AD006,Mus_musculus,Superficial,0.79898,0.02963,5.24,Excitatory,mL6-1
Pool_300_AD008,Mus_musculus,Superficial,0.71571,0.02622,1.44,Excitatory,mL5-1
Pool_300_AD010,Mus_musculus,Superficial,0.72878,0.02203,4.06,Excitatory,mL2/3
Pool_301_AD008,Mus_musculus,Superficial,0.74239,0.02793,4.82,Excitatory,mL5-1
Pool_302_AD010,Mus_musculus,Superficial,0.70728,0.02438,6.19,Excitatory,mL2/3
Pool_303_AD010,Mus_musculus,Superficial,0.71304,0.01609,5.68,Inhibitory,mNdnf-2
Pool_304_AD008,Mus_musculus,Superficial,0.72538,0.02366,3.37,Excitatory,mL5-1
Pool_304_AD010,Mus_musculus,Superficial,0.7168,0.02366,5.2,Excitatory,mL2/3
Pool_306_AD010,Mus_musculus,Superficial,0.75389,0.02907,4.44,Excitatory,mL5-1
Pool_307_AD010,Mus_musculus,Superficial,0.70555,0.02297,6.53,Excitatory,mL2/3
Pool_308_AD010,Mus_musculus,Superficial,0.71111,0.02474,2.36,Excitatory,mL2/3
Pool_309_AD010,Mus_musculus,Superficial,0.7292,0.02509,5.55,Excitatory,mL5-1
Pool_30_AD006,Mus_musculus,Superficial,0.75566,0.02051,3.33,Excitatory,mL2/3
Pool_310_AD008,Mus_musculus,Superficial,0.72614,0.02742,5.91,Excitatory,mL5-1
Pool_311_AD008,Mus_musculus,Superficial,0.70189,0.01888,3.01,Excitatory,mL2/3
Pool_311_AD010,Mus_musculus,Superficial,0.70334,0.02449,5.52,Excitatory,mL2/3
Pool_312_AD008,Mus_musculus,Superficial,0.73667,0.02177,5.24,Excitatory,mL2/3
Pool_312_AD010,Mus_musculus,Superficial,0.70892,0.02444,4.13,Excitatory,mL2/3
Pool_313_AD010,Mus_musculus,Superficial,0.73896,0.02047,4.38,Excitatory,mL2/3
Pool_314_AD008,Mus_musculus,Superficial,0.73651,0.02451,1.12,Inhibitory,mNdnf-2
Pool_314_AD010,Mus_musculus,Superficial,0.7862,0.02617,4.47,Inhibitory,mSst-1
Pool_315_AD010,Mus_musculus,Superficial,0.75971,0.03029,3.94,Inhibitory,mVip
Pool_316_AD008,Mus_musculus,Superficial,0.75199,0.02394,3.4,Excitatory,mL5-1
Pool_316_AD010,Mus_musculus,Superficial,0.74559,0.02396,5.08,Excitatory,mL2/3
Pool_318_AD010,Mus_musculus,Superficial,0.78686,0.02629,4.87,Inhibitory,mSst-1
Pool_319_AD010,Mus_musculus,Superficial,0.76923,0.02677,4.6,Inhibitory,mPv
Pool_31_AD002,Mus_musculus,Superficial,0.7321,0.01952,3.34,Excitatory,mL4
Pool_31_AD006,Mus_musculus,Superficial,0.75449,0.02199,4.22,Excitatory,mL4
Pool_320_AD010,Mus_musculus,Superficial,0.77499,0.03135,5.1,Inhibitory,mPv
Pool_322_AD008,Mus_musculus,Superficial,0.77529,0.02919,4.7,Inhibitory,mSst-1
Pool_322_AD010,Mus_musculus,Superficial,0.73786,0.02345,6.47,Excitatory,mL4
Pool_323_AD010,Mus_musculus,Superficial,0.70766,0.02276,5.85,Excitatory,mL2/3
Pool_325_AD010,Mus_musculus,Superficial,0.72082,0.02244,6.33,Excitatory,mL2/3
Pool_326_AD010,Mus_musculus,Superficial,0.74232,0.03138,6.63,Excitatory,mL5-1
Pool_327_AD010,Mus_musculus,Superficial,0.75305,0.02898,6.64,Inhibitory,mPv
Pool_328_AD010,Mus_musculus,Superficial,0.7182,0.02223,7.7,Excitatory,mL2/3
Pool_329_AD008,Mus_musculus,Superficial,0.74591,0.02563,5.72,Excitatory,mL5-1
Pool_329_AD010,Mus_musculus,Superficial,0.69894,0.02128,1.16,Excitatory,mL2/3
Pool_32_AD002,Mus_musculus,Superficial,0.73862,0.02002,4.01,Excitatory,mL2/3
Pool_32_AD006,Mus_musculus,Superficial,0.76644,0.02594,5.28,Excitatory,mL5-1
Pool_330_AD008,Mus_musculus,Superficial,0.73116,0.02028,2.1,Excitatory,mL2/3
Pool_331_AD010,Mus_musculus,Superficial,0.71884,0.02083,1.78,Excitatory,mL2/3
Pool_333_AD010,Mus_musculus,Superficial,0.75195,0.01933,3.92,Inhibitory,mNdnf-2
Pool_335_AD010,Mus_musculus,Superficial,0.70835,0.02199,5.81,Excitatory,mL2/3
Pool_336_AD010,Mus_musculus,Superficial,0.72468,0.02172,6.22,Excitatory,mL4
Pool_338_AD010,Mus_musculus,Superficial,0.7137,0.0229,5.19,Excitatory,mL2/3
Pool_339_AD010,Mus_musculus,Superficial,0.77305,0.0268,3.93,Inhibitory,mSst-1
Pool_33_AD006,Mus_musculus,Superficial,0.73132,0.02074,6.09,Excitatory,mL4
Pool_341_AD010,Mus_musculus,Superficial,0.71096,0.01338,4,Excitatory,mL4
Pool_342_AD010,Mus_musculus,Superficial,0.69267,0.022,5.38,Excitatory,mL2/3
Pool_343_AD010,Mus_musculus,Superficial,0.75914,0.0192,5.94,Inhibitory,mVip
Pool_344_AD010,Mus_musculus,Superficial,0.73946,0.02555,1.18,Excitatory,mL2/3
Pool_345_AD010,Mus_musculus,Superficial,0.71653,0.01782,6.75,Inhibitory,mNdnf-2
Pool_346_AD008,Mus_musculus,Superficial,0.72516,0.02052,3.06,Excitatory,mL2/3
Pool_347_AD008,Mus_musculus,Superficial,0.75882,0.02315,1.03,Excitatory,mDL-1
Pool_347_AD010,Mus_musculus,Superficial,0.74113,0.02408,6.13,Excitatory,mL4
Pool_348_AD008,Mus_musculus,Superficial,0.71271,0.01668,5.39,Inhibitory,mNdnf-2
Pool_34_AD006,Mus_musculus,Superficial,0.72579,0.01592,6.49,Inhibitory,mNdnf-2
Pool_350_AD010,Mus_musculus,Superficial,0.71858,0.02314,5.5,Excitatory,mL2/3
Pool_351_AD010,Mus_musculus,Superficial,0.75231,0.02844,6.03,Inhibitory,mNdnf-1
Pool_352_AD010,Mus_musculus,Superficial,0.70431,0.02327,1.21,Excitatory,mL4
Pool_354_AD008,Mus_musculus,Superficial,0.71164,0.02033,4.36,Excitatory,mL2/3
Pool_355_AD010,Mus_musculus,Superficial,0.70738,0.02195,1.6,Excitatory,mL2/3
Pool_356_AD010,Mus_musculus,Superficial,0.71861,0.02072,1.54,Excitatory,mL2/3
Pool_358_AD010,Mus_musculus,Superficial,0.73112,0.0285,3.88,Excitatory,mL5-1
Pool_359_AD010,Mus_musculus,Superficial,0.72282,0.02024,4.39,Excitatory,mL2/3
Pool_35_AD006,Mus_musculus,Superficial,0.7468,0.01916,5.14,Excitatory,mL4
Pool_360_AD008,Mus_musculus,Superficial,0.75741,0.02996,2.97,Excitatory,mL5-2
Pool_360_AD010,Mus_musculus,Superficial,0.75014,0.02795,4.21,Inhibitory,mVip
Pool_365_AD010,Mus_musculus,Superficial,0.75376,0.03018,3.78,Excitatory,mDL-2
Pool_366_AD008,Mus_musculus,Superficial,0.75573,0.01912,3.66,Excitatory,mL2/3
Pool_366_AD010,Mus_musculus,Superficial,0.71209,0.01913,2.53,Inhibitory,mNdnf-2
Pool_368_AD008,Mus_musculus,Superficial,0.73487,0.02623,5.13,Excitatory,mL5-1
Pool_368_AD010,Mus_musculus,Superficial,0.71582,0.02233,4.56,Excitatory,mL2/3
Pool_369_AD008,Mus_musculus,Superficial,0.71669,0.01905,5,Excitatory,mL2/3
Pool_36_AD006,Mus_musculus,Superficial,0.74202,0.02366,5.23,Excitatory,mL2/3
Pool_370_AD010,Mus_musculus,Superficial,0.70785,0.02429,5.74,Excitatory,mL2/3
Pool_371_AD010,Mus_musculus,Superficial,0.70867,0.02379,2.5,Excitatory,mL2/3
Pool_372_AD008,Mus_musculus,Superficial,0.74168,0.02228,5.43,Excitatory,mL4
Pool_373_AD010,Mus_musculus,Superficial,0.77236,0.02513,6.11,Inhibitory,mSst-1
Pool_374_AD008,Mus_musculus,Superficial,0.70498,0.02105,4.98,Excitatory,mL2/3
Pool_375_AD010,Mus_musculus,Superficial,0.70717,0.02142,6.66,Excitatory,mL2/3
Pool_377_AD010,Mus_musculus,Superficial,0.70164,0.01943,5.77,Excitatory,mL2/3
Pool_378_AD008,Mus_musculus,Superficial,0.72039,0.01724,2.37,Inhibitory,mNdnf-1
Pool_379_AD010,Mus_musculus,Superficial,0.70497,0.0198,5.56,Excitatory,mL2/3
Pool_37_AD006,Mus_musculus,Superficial,0.74998,0.02319,5.37,Excitatory,mL4
Pool_381_AD010,Mus_musculus,Superficial,0.69929,0.02271,1.25,Excitatory,mL2/3
Pool_382_AD010,Mus_musculus,Superficial,0.709,0.02181,4.97,Excitatory,mL2/3
Pool_383_AD010,Mus_musculus,Superficial,0.69807,0.02175,2.23,Excitatory,mL2/3
Pool_384_AD008,Mus_musculus,Superficial,0.74167,0.02246,4.75,Excitatory,mL2/3
Pool_384_AD010,Mus_musculus,Superficial,0.73365,0.02709,1.83,Inhibitory,mVip
Pool_385_AD006,Mus_musculus,Superficial,0.78976,0.02894,5.31,Inhibitory,mSst-1
Pool_387_AD002,Mus_musculus,Superficial,0.72989,0.01659,5,Excitatory,mL2/3
Pool_387_AD006,Mus_musculus,Superficial,0.78659,0.02834,6.1,Inhibitory,mSst-1
Pool_388_AD006,Mus_musculus,Superficial,0.74219,0.02349,7.21,Excitatory,mL2/3
Pool_389_AD002,Mus_musculus,Superficial,0.71131,0.02274,6.16,Excitatory,mL2/3
Pool_38_AD002,Mus_musculus,Superficial,0.7062,0.0232,3.52,Excitatory,mL2/3
Pool_38_AD006,Mus_musculus,Superficial,0.73017,0.0201,6.57,Excitatory,mL2/3
Pool_390_AD002,Mus_musculus,Superficial,0.71145,0.02166,6.76,Excitatory,mL2/3
Pool_390_AD006,Mus_musculus,Superficial,0.74238,0.02112,5.47,Excitatory,mL2/3
Pool_391_AD002,Mus_musculus,Superficial,0.75035,0.02551,4,Inhibitory,mVip
Pool_391_AD006,Mus_musculus,Superficial,0.72108,0.02016,4.92,Excitatory,mL2/3
Pool_392_AD002,Mus_musculus,Superficial,0.71118,0.02274,2.2,Excitatory,mL4
Pool_392_AD006,Mus_musculus,Superficial,0.70071,0.02169,1.81,Excitatory,mL2/3
Pool_393_AD006,Mus_musculus,Superficial,0.71287,0.01843,6.14,Excitatory,mL4
Pool_394_AD002,Mus_musculus,Superficial,0.72605,0.02341,5.9,Excitatory,mL2/3
Pool_395_AD002,Mus_musculus,Superficial,0.70692,0.02209,5.27,Excitatory,mL2/3
Pool_395_AD006,Mus_musculus,Superficial,0.71359,0.02098,7.11,Excitatory,mL2/3
Pool_396_AD002,Mus_musculus,Superficial,0.71476,0.02316,7.21,Excitatory,mL2/3
Pool_396_AD006,Mus_musculus,Superficial,0.72632,0.02096,5.79,Excitatory,mL2/3
Pool_397_AD002,Mus_musculus,Superficial,0.71495,0.02208,6.26,Excitatory,mL2/3
Pool_397_AD006,Mus_musculus,Superficial,0.71433,0.0198,8.54,Excitatory,mL2/3
Pool_398_AD002,Mus_musculus,Superficial,0.69502,0.02147,5.68,Excitatory,mL2/3
Pool_398_AD006,Mus_musculus,Superficial,0.73652,0.02589,8.3,Excitatory,mL4
Pool_399_AD002,Mus_musculus,Superficial,0.70867,0.02236,6.04,Excitatory,mL2/3
Pool_399_AD006,Mus_musculus,Superficial,0.76356,0.02579,7.65,Inhibitory,mPv
Pool_39_AD006,Mus_musculus,Superficial,0.73953,0.02402,5.46,Excitatory,mL2/3
Pool_3_AD002,Mus_musculus,Superficial,0.73219,0.02047,2.24,Excitatory,mL2/3
Pool_3_AD006,Mus_musculus,Superficial,0.74762,0.02276,3.13,Excitatory,mL4
Pool_400_AD002,Mus_musculus,Superficial,0.72768,0.02153,6.08,Excitatory,mL2/3
Pool_400_AD006,Mus_musculus,Superficial,0.74327,0.02089,9.25,Inhibitory,mNdnf-1
Pool_401_AD006,Mus_musculus,Superficial,0.73206,0.02262,6.36,Excitatory,mL2/3
Pool_402_AD002,Mus_musculus,Superficial,0.75243,0.02897,4.99,Inhibitory,mPv
Pool_402_AD006,Mus_musculus,Superficial,0.76779,0.02819,5.11,Inhibitory,mVip
Pool_403_AD002,Mus_musculus,Superficial,0.71042,0.01947,3.81,Excitatory,mL4
Pool_403_AD006,Mus_musculus,Superficial,0.73977,0.01979,6.35,Excitatory,mL2/3
Pool_404_AD006,Mus_musculus,Superficial,0.69999,0.02246,6.95,Excitatory,mL2/3
Pool_406_AD002,Mus_musculus,Superficial,0.71006,0.01939,5.26,Excitatory,mL4
Pool_407_AD006,Mus_musculus,Superficial,0.73056,0.0207,8.5,Excitatory,mL2/3
Pool_408_AD002,Mus_musculus,Superficial,0.72329,0.02057,3.73,Excitatory,mL2/3
Pool_408_AD006,Mus_musculus,Superficial,0.71525,0.0185,7.23,Excitatory,mL2/3
Pool_409_AD002,Mus_musculus,Superficial,0.7446,0.01917,5.3,Excitatory,mL2/3
Pool_409_AD006,Mus_musculus,Superficial,0.75616,0.02871,6.51,Excitatory,mL5-1
Pool_40_AD002,Mus_musculus,Superficial,0.72336,0.01796,4.68,Excitatory,mL4
Pool_40_AD006,Mus_musculus,Superficial,0.74634,0.02018,6.1,Excitatory,mL2/3
Pool_410_AD002,Mus_musculus,Superficial,0.73083,0.01889,4.65,Excitatory,mL2/3
Pool_410_AD006,Mus_musculus,Superficial,0.7564,0.02965,6.42,Excitatory,mL5-1
Pool_411_AD006,Mus_musculus,Superficial,0.73739,0.01946,6.41,Excitatory,mL2/3
Pool_413_AD002,Mus_musculus,Superficial,0.73258,0.0213,5.69,Excitatory,mL2/3
Pool_413_AD006,Mus_musculus,Superficial,0.72282,0.02212,7.38,Excitatory,mL2/3
Pool_414_AD002,Mus_musculus,Superficial,0.72119,0.02225,2.69,Excitatory,mL2/3
Pool_414_AD006,Mus_musculus,Superficial,0.75187,0.02744,6.89,Excitatory,mL5-1
Pool_415_AD002,Mus_musculus,Superficial,0.75213,0.02191,5.31,Excitatory,mL2/3
Pool_415_AD006,Mus_musculus,Superficial,0.76383,0.02492,5.87,Excitatory,mL2/3
Pool_416_AD002,Mus_musculus,Superficial,0.76664,0.02486,4.89,Inhibitory,mPv
Pool_416_AD006,Mus_musculus,Superficial,0.74816,0.02149,6.14,Inhibitory,mNdnf-1
Pool_418_AD006,Mus_musculus,Superficial,0.74781,0.0228,5.48,Excitatory,mL2/3
Pool_419_AD002,Mus_musculus,Superficial,0.7274,0.02377,5.73,Excitatory,mL4
Pool_419_AD006,Mus_musculus,Superficial,0.72566,0.02102,7.75,Excitatory,mL2/3
Pool_41_AD006,Mus_musculus,Superficial,0.73131,0.02242,5.64,Excitatory,mL2/3
Pool_420_AD002,Mus_musculus,Superficial,0.70003,0.02253,6.81,Excitatory,mL2/3
Pool_420_AD006,Mus_musculus,Superficial,0.72455,0.02177,8.1,Excitatory,mL2/3
Pool_421_AD006,Mus_musculus,Superficial,0.72816,0.02128,7.9,Excitatory,mL2/3
Pool_422_AD002,Mus_musculus,Superficial,0.6993,0.01928,6.67,Excitatory,mL4
Pool_422_AD006,Mus_musculus,Superficial,0.73131,0.02024,6.89,Excitatory,mL4
Pool_423_AD002,Mus_musculus,Superficial,0.71484,0.0193,4.78,Excitatory,mL2/3
Pool_423_AD006,Mus_musculus,Superficial,0.718,0.01793,8.49,Excitatory,mL4
Pool_424_AD002,Mus_musculus,Superficial,0.71389,0.02685,5.68,Excitatory,mL2/3
Pool_424_AD006,Mus_musculus,Superficial,0.729,0.02247,9.08,Excitatory,mL2/3
Pool_425_AD006,Mus_musculus,Superficial,0.73167,0.02478,9.39,Excitatory,mL2/3
Pool_426_AD006,Mus_musculus,Superficial,0.74349,0.01937,5.18,Excitatory,mL4
Pool_427_AD006,Mus_musculus,Superficial,0.70993,0.02282,7.21,Excitatory,mL2/3
Pool_428_AD002,Mus_musculus,Superficial,0.71344,0.02177,6.3,Excitatory,mL2/3
Pool_428_AD006,Mus_musculus,Superficial,0.73019,0.0216,7.07,Excitatory,mL2/3
