sample,specie,Laminar_layer,mCG/CG,mCH/CH,Coverage(%),BroadClass,Subtype
Pool_730_AD010,Mus_musculus,Deep,0.73749,0.02811,4.64,Excitatory,mDL-2
Pool_731_AD008,Mus_musculus,Deep,0.74149,0.02055,4.27,Excitatory,mL6-2
Pool_731_AD010,Mus_musculus,Deep,0.72606,0.01991,3.76,Excitatory,mL6-2
Pool_732_AD008,Mus_musculus,Deep,0.7368,0.02254,4.26,Excitatory,mDL-3
Pool_732_AD010,Mus_musculus,Deep,0.72457,0.02566,4.18,Excitatory,mL5-1
Pool_733_AD008,Mus_musculus,Deep,0.73268,0.02707,3.87,Excitatory,mL6-2
Pool_733_AD010,Mus_musculus,Deep,0.75098,0.02688,4.27,Excitatory,mL5-2
Pool_734_AD008,Mus_musculus,Deep,0.7764,0.0252,3.8,Excitatory,mL6-1
Pool_734_AD010,Mus_musculus,Deep,0.78402,0.02774,4.05,Excitatory,mL6-1
Pool_735_AD008,Mus_musculus,Deep,0.7459,0.02288,3.84,Excitatory,mL6-2
Pool_735_AD010,Mus_musculus,Deep,0.7606,0.02941,4.12,Excitatory,mL5-1
Pool_736_AD008,Mus_musculus,Deep,0.74201,0.03069,3.59,Excitatory,mL5-2
Pool_736_AD010,Mus_musculus,Deep,0.73752,0.02407,3.97,Excitatory,mDL-1
Pool_737_AD008,Mus_musculus,Deep,0.7395,0.02613,5.04,Excitatory,mDL-1
Pool_737_AD010,Mus_musculus,Deep,0.7491,0.02624,5.54,Excitatory,mL6-2
Pool_738_AD008,Mus_musculus,Deep,0.79625,0.03509,4.39,Excitatory,mL6-2
Pool_738_AD010,Mus_musculus,Deep,0.73956,0.02544,4.93,Excitatory,mL2/3
Pool_739_AD008,Mus_musculus,Deep,0.71304,0.01874,4.45,Excitatory,mL6-2
Pool_739_AD010,Mus_musculus,Deep,0.76069,0.03723,5.05,Inhibitory,mSst-1
Pool_73_AD002,Mus_musculus,Superficial,0.7047,0.02107,4.48,Excitatory,mL2/3
Pool_73_AD006,Mus_musculus,Superficial,0.71998,0.0203,7.39,Excitatory,mL4
Pool_740_AD008,Mus_musculus,Deep,0.78748,0.03144,5.49,Excitatory,mL6-2
Pool_740_AD010,Mus_musculus,Deep,0.76151,0.02909,5.17,Excitatory,mL6-2
Pool_741_AD008,Mus_musculus,Deep,0.74478,0.0289,5.41,Excitatory,mL5-1
Pool_741_AD010,Mus_musculus,Deep,0.7377,0.02431,5.56,Excitatory,mL6-2
Pool_742_AD008,Mus_musculus,Deep,0.74016,0.0247,5.37,Excitatory,mL6-2
Pool_742_AD010,Mus_musculus,Deep,0.75129,0.02675,4.55,Excitatory,mDL-2
Pool_743_AD008,Mus_musculus,Deep,0.75734,0.02615,4.9,Excitatory,mL6-2
Pool_743_AD010,Mus_musculus,Deep,0.79295,0.03705,5.32,Excitatory,mL6-2
Pool_744_AD008,Mus_musculus,Deep,0.78253,0.03371,2.22,Inhibitory,mPv
Pool_744_AD010,Mus_musculus,Deep,0.73301,0.02554,4.99,Excitatory,mDL-3
Pool_745_AD008,Mus_musculus,Deep,0.73753,0.02762,4.51,Excitatory,mDL-3
Pool_745_AD010,Mus_musculus,Deep,0.74156,0.02705,4.95,Excitatory,mDL-1
Pool_746_AD008,Mus_musculus,Deep,0.77426,0.02881,5.17,Excitatory,mL6-2
Pool_746_AD010,Mus_musculus,Deep,0.7442,0.02652,5.16,Excitatory,mL6-2
Pool_747_AD008,Mus_musculus,Deep,0.74089,0.02139,4.39,Excitatory,mL6-2
Pool_747_AD010,Mus_musculus,Deep,0.7358,0.02717,4.46,Excitatory,mDL-3
Pool_748_AD008,Mus_musculus,Deep,0.75284,0.02964,4.97,Excitatory,mL5-2
Pool_748_AD010,Mus_musculus,Deep,0.73083,0.02401,4.63,Excitatory,mL6-2
Pool_749_AD008,Mus_musculus,Deep,0.73637,0.02221,5.89,Excitatory,mDL-1
Pool_749_AD010,Mus_musculus,Deep,0.72653,0.02066,5.92,Excitatory,mL6-2
Pool_74_AD002,Mus_musculus,Superficial,0.71734,0.02067,6.28,Excitatory,mL2/3
Pool_74_AD006,Mus_musculus,Superficial,0.72476,0.02289,5.91,Excitatory,mL2/3
Pool_750_AD008,Mus_musculus,Deep,0.76059,0.02684,4.85,Excitatory,mL5-1
Pool_750_AD010,Mus_musculus,Deep,0.73301,0.02038,4.53,Excitatory,mL6-2
Pool_751_AD008,Mus_musculus,Deep,0.74436,0.02256,4.91,Excitatory,mDL-2
Pool_751_AD010,Mus_musculus,Deep,0.77122,0.02804,5.31,Excitatory,mL6-2
Pool_752_AD008,Mus_musculus,Deep,0.7326,0.03254,5.52,Excitatory,mL5-2
Pool_752_AD010,Mus_musculus,Deep,0.75415,0.02905,4.97,Excitatory,mL5-1
Pool_753_AD008,Mus_musculus,Deep,0.73058,0.0189,6.43,Excitatory,mL6-2
Pool_753_AD010,Mus_musculus,Deep,0.73829,0.0266,5.27,Excitatory,mDL-2
Pool_754_AD008,Mus_musculus,Deep,0.74093,0.02581,3.55,Excitatory,mL2/3
Pool_754_AD010,Mus_musculus,Deep,0.74326,0.0269,5.37,Excitatory,mDL-1
Pool_755_AD008,Mus_musculus,Deep,0.73302,0.01955,4.47,Excitatory,mL6-2
Pool_755_AD010,Mus_musculus,Deep,0.75247,0.03093,4.66,Excitatory,mL5-1
Pool_756_AD008,Mus_musculus,Deep,0.73152,0.02787,5.45,Excitatory,mL5-2
Pool_756_AD010,Mus_musculus,Deep,0.76396,0.02948,6.15,Excitatory,mL6-2
Pool_757_AD008,Mus_musculus,Deep,0.75104,0.02324,5.2,Excitatory,mL6-2
Pool_757_AD010,Mus_musculus,Deep,0.71682,0.01959,6.26,Excitatory,mL6-2
Pool_758_AD008,Mus_musculus,Deep,0.72302,0.02268,6.54,Excitatory,mDL-2
Pool_758_AD010,Mus_musculus,Deep,0.77072,0.02577,7.02,Inhibitory,mPv
Pool_759_AD008,Mus_musculus,Deep,0.78797,0.03566,3.87,Excitatory,mL6-2
Pool_759_AD010,Mus_musculus,Deep,0.72849,0.02509,5.96,Excitatory,mDL-2
Pool_75_AD002,Mus_musculus,Superficial,0.72808,0.02026,3.4,Excitatory,mL4
Pool_75_AD006,Mus_musculus,Superficial,0.73609,0.02349,5.52,Excitatory,mL5-1
Pool_760_AD008,Mus_musculus,Deep,0.72642,0.01853,5.72,Excitatory,mL6-2
Pool_760_AD010,Mus_musculus,Deep,0.73089,0.02509,5.11,Excitatory,mDL-2
Pool_761_AD008,Mus_musculus,Deep,0.7355,0.02501,4.98,Excitatory,mDL-2
Pool_761_AD010,Mus_musculus,Deep,0.75132,0.03105,5.55,Inhibitory,mSst-1
Pool_762_AD008,Mus_musculus,Deep,0.73321,0.03029,4.58,Excitatory,mDL-2
Pool_762_AD010,Mus_musculus,Deep,0.73283,0.02252,6.03,Excitatory,mDL-2
Pool_763_AD008,Mus_musculus,Deep,0.76477,0.02408,5.26,Excitatory,mL6-2
Pool_763_AD010,Mus_musculus,Deep,0.7486,0.02525,5.86,Excitatory,mDL-3
Pool_764_AD008,Mus_musculus,Deep,0.78104,0.02558,4.77,Excitatory,mL6-1
Pool_764_AD010,Mus_musculus,Deep,0.74605,0.02969,5.45,Excitatory,mL6-2
Pool_765_AD008,Mus_musculus,Deep,0.74263,0.02466,5.5,Excitatory,mDL-2
Pool_765_AD010,Mus_musculus,Deep,0.74213,0.0279,5.84,Excitatory,mL5-1
Pool_766_AD008,Mus_musculus,Deep,0.74941,0.02864,3.41,Excitatory,mDL-2
Pool_766_AD010,Mus_musculus,Deep,0.76616,0.02729,4.89,Excitatory,mL6-2
Pool_767_AD008,Mus_musculus,Deep,0.74126,0.02549,6.35,Excitatory,mDL-3
Pool_767_AD010,Mus_musculus,Deep,0.74065,0.02817,4.85,Excitatory,mL5-2
Pool_768_AD008,Mus_musculus,Deep,0.74474,0.02147,6.36,Excitatory,mL5-1
Pool_768_AD010,Mus_musculus,Deep,0.75533,0.03206,4.43,Inhibitory,mSst-1
Pool_769_AD002,Mus_musculus,Deep,0.7297,0.0207,1.65,Excitatory,mL6-2
Pool_769_AD006,Mus_musculus,Deep,0.75687,0.02681,2.42,Excitatory,mL6-2
Pool_76_AD002,Mus_musculus,Superficial,0.72089,0.02124,4.07,Excitatory,mL2/3
Pool_76_AD006,Mus_musculus,Superficial,0.73708,0.02016,5.45,Excitatory,mL4
Pool_770_AD006,Mus_musculus,Deep,0.73832,0.0251,2.24,Excitatory,mDL-2
Pool_771_AD002,Mus_musculus,Deep,0.73829,0.02378,1.87,Excitatory,mL6-2
Pool_771_AD006,Mus_musculus,Deep,0.77341,0.03115,3.62,Excitatory,mL5-1
Pool_772_AD002,Mus_musculus,Deep,0.7599,0.0285,2.17,Excitatory,mL6-2
Pool_773_AD002,Mus_musculus,Deep,0.76941,0.03444,3.36,Inhibitory,mSst-1
Pool_773_AD006,Mus_musculus,Deep,0.747,0.02464,3.91,Excitatory,mDL-1
Pool_774_AD002,Mus_musculus,Deep,0.75248,0.02713,2.69,Excitatory,mL5-2
Pool_774_AD006,Mus_musculus,Deep,0.74183,0.02513,2.85,Excitatory,mDL-2
Pool_775_AD002,Mus_musculus,Deep,0.75239,0.03101,3.01,Excitatory,mL6-2
Pool_775_AD006,Mus_musculus,Deep,0.77732,0.03206,3.57,Inhibitory,mPv
Pool_776_AD002,Mus_musculus,Deep,0.73019,0.0261,2.62,Excitatory,mL4
Pool_776_AD006,Mus_musculus,Deep,0.73959,0.02496,2.73,Excitatory,mL2/3
Pool_777_AD002,Mus_musculus,Deep,0.77994,0.0332,3.02,Excitatory,mL6-2
Pool_777_AD006,Mus_musculus,Deep,0.78257,0.03134,4.41,Excitatory,mL6-2
Pool_778_AD002,Mus_musculus,Deep,0.77542,0.03132,2.05,Excitatory,mL6-2
Pool_778_AD006,Mus_musculus,Deep,0.73858,0.02189,3.22,Excitatory,mL6-2
Pool_779_AD002,Mus_musculus,Deep,0.7479,0.03302,3.57,Inhibitory,mPv
Pool_779_AD006,Mus_musculus,Deep,0.73886,0.02427,3.39,Excitatory,mDL-1
Pool_77_AD002,Mus_musculus,Superficial,0.71782,0.02094,5.37,Inhibitory,mNdnf-2
Pool_77_AD006,Mus_musculus,Superficial,0.75181,0.0216,5.18,Excitatory,mL4
Pool_780_AD002,Mus_musculus,Deep,0.75979,0.03401,2.45,Inhibitory,mSst-1
Pool_780_AD006,Mus_musculus,Deep,0.73536,0.02441,5.15,Excitatory,mDL-2
Pool_781_AD002,Mus_musculus,Deep,0.77889,0.03286,3.32,Excitatory,mL6-2
Pool_781_AD006,Mus_musculus,Deep,0.74016,0.02838,4.23,Excitatory,mL2/3
Pool_782_AD002,Mus_musculus,Deep,0.74797,0.03074,3.68,Inhibitory,mPv
Pool_782_AD006,Mus_musculus,Deep,0.72595,0.02376,5.14,Excitatory,mDL-2
Pool_783_AD002,Mus_musculus,Deep,0.72013,0.02204,3.51,Excitatory,mDL-2
Pool_783_AD006,Mus_musculus,Deep,0.7578,0.02836,4.78,Excitatory,mL6-2
Pool_784_AD002,Mus_musculus,Deep,0.73216,0.0226,3.16,Excitatory,mL6-2
Pool_784_AD006,Mus_musculus,Deep,0.75333,0.02662,4.26,Excitatory,mL6-2
Pool_785_AD006,Mus_musculus,Deep,0.75179,0.03142,1.61,Excitatory,mL5-1
Pool_786_AD006,Mus_musculus,Deep,0.7342,0.02497,2.28,Excitatory,mDL-1
Pool_787_AD002,Mus_musculus,Deep,0.71363,0.01934,2.17,Excitatory,mL6-2
Pool_787_AD006,Mus_musculus,Deep,0.78549,0.0276,3.06,Excitatory,mL6-1
Pool_788_AD002,Mus_musculus,Deep,0.72656,0.03129,2.42,Excitatory,mL5-2
Pool_788_AD006,Mus_musculus,Deep,0.71446,0.02074,3.18,Excitatory,mL6-2
Pool_789_AD002,Mus_musculus,Deep,0.70887,0.02391,2.66,Excitatory,mL6-2
Pool_789_AD006,Mus_musculus,Deep,0.77986,0.03484,3.25,Excitatory,mL6-2
Pool_78_AD006,Mus_musculus,Superficial,0.74806,0.01831,5.69,Inhibitory,mNdnf-1
Pool_790_AD006,Mus_musculus,Deep,0.75529,0.02922,4.52,Excitatory,mL6-2
Pool_791_AD002,Mus_musculus,Deep,0.71102,0.01968,2.59,Excitatory,mL6-2
Pool_791_AD006,Mus_musculus,Deep,0.7932,0.0349,4.45,Excitatory,mL6-2
